HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
False,LOW,LOW,False,LOW,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,NORMAL,False,LOW,NORMAL,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,LOW,LOW,False,LOW,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,NORMAL
True,LOW,LOW,False,LOW,True,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,HIGH,False,LOW,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,NORMAL,NORMAL,False,HIGH,False,False,HIGH,NORMAL,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,HIGH,False,LOW,NORMAL,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,True,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH
False,LOW,LOW,False,LOW,False,NORMAL,False,HIGH,HIGH,False,HIGH,True,False,HIGH,LOW,True,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,HIGH,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,ZERO,ZERO,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,ZERO,ZERO,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,False,False,LOW,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,ZERO,ZERO,LOW,HIGH,LOW,HIGH,NORMAL,NORMAL,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,HIGH,True,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,NORMAL,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,LOW,LOW,False,LOW,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,True,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,LOW,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW
False,NORMAL,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,LOW,False,LOW,NORMAL,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,LOW,False,HIGH,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,HIGH,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,True,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,LOW,LOW,False,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,LOW,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,True,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,HIGH,True,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL
False,HIGH,HIGH,True,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL
