id,bdate,sex
474614260,30,2
474680008,27,2
474691233,20,2
474758279,20,2
474765372,22,2
474789807,20,2
474865033,15,1
474871413,36,2
474915238,15,1
474971969,23,1
475007393,15,1
475028984,21,2
475051217,23,2
475054576,30,2
475079380,20,2
475104663,32,2
475110808,34,2
475202789,16,2
475304805,117,2
475318631,33,2
475326001,42,1
475326635,47,2
475335969,19,2
475368810,28,1
475398042,20,2
475416039,36,2
475417471,24,2
475505279,25,1
475524492,35,1
475529644,25,2
475543121,30,1
475613428,23,2
475616437,22,1
475629577,23,2
475635014,32,2
475641882,26,1
475668069,20,1
475730002,45,1
475763000,24,2
475799608,28,2
475803229,33,1
475867017,27,1
475869467,19,2
475883766,16,2
475886327,21,2
475895991,26,1
475912392,30,1
476003511,41,2
476003631,16,2
476035718,22,2
476040009,38,2
476054863,21,2
476063734,16,2
476077766,62,1
476102368,20,2
476139412,29,1
476162985,35,2
476206038,34,1
476288681,32,2
476321261,19,2
476369369,18,1
476477794,32,1
476487303,16,1
476550251,18,2
476553923,35,2
476562904,32,1
476609347,35,1
476685969,23,2
476693094,118,2
476696577,31,2
476702721,57,1
476738875,30,1
476751141,26,1
476762035,57,2
476769240,36,2
476779152,36,2
476779424,22,2
476906374,22,2
476930787,30,2
476958227,23,2
476994389,61,2
477036672,54,1
477052898,15,1
477070803,33,1
477074330,26,1
477116451,16,2
477162754,15,2
477205320,61,2
477218743,25,2
477227322,43,1
477339607,40,1
477355567,26,2
477358707,22,2
477378708,52,1
477388840,20,1
477423808,16,1
477425796,24,2
477435141,21,2
477478082,23,2
477480269,33,1
477498802,41,2
477543187,16,1
477617883,25,2
477642163,23,2
477648836,39,2
434709416,26,1
434731356,20,1
477687684,20,2
477689169,39,1
477693555,36,1
477788126,32,2
477788560,24,2
434803310,44,2
477833300,16,2
434856276,47,1
477906574,58,1
477942716,21,2
477953871,22,1
477973117,27,1
478033493,33,2
434982924,30,1
434988463,21,1
478055604,60,1
434993850,30,2
478062351,24,2
435030554,36,2
478126509,41,1
478137856,50,1
478157043,27,2
478159483,49,1
478202462,36,1
478205841,19,2
478213853,26,1
478230545,41,2
478250595,21,1
478252438,65,1
478298106,35,2
478318190,26,1
478334282,57,2
478374507,22,1
435244421,21,2
435254860,21,2
478524143,27,2
478533917,20,2
435344838,17,1
478546745,22,1
478602195,31,1
