A,C,D,H,I,O,T
young,none,0.0,none,106.111353746521,71.2033092386408,304.051429612148
young,none,0.0,none,139.683632312996,62.6182265162787,325.630728917291
young,none,0.0,none,78.8596285454038,59.3585039885145,257.660727405672
young,none,0.0,none,72.055910376157,54.4091769987332,257.32724909773
adult,mild,0.0,none,108.183300743847,194.656084432532,443.395471323822
adult,none,4.47581032241905,any,1420.69921274019,195.335720440181,1769.16761580287
young,none,0.0,none,134.541501556854,58.869496014427,324.643217483418
young,none,0.0,none,67.7176216382516,49.2515474170983,224.527319998421
adult,mild,0.0,none,145.557199648516,160.275428322463,436.784566411555
old,mild,6.99611964953998,any,3989.35614831051,374.229493759033,4585.80005630089
adult,none,0.0,none,74.083085727329,208.615955295099,433.771056688236
old,severe,0.0,none,291.067896491914,337.65142120654,775.860269159556
adult,none,0.0,none,93.2376821655095,171.808895448267,400.216066182752
adult,none,4.79831586130381,any,1505.9976272123,173.27963438445,1842.40854425184
adult,none,3.32136385402817,any,1127.11514743346,207.942946954927,1480.9879718878
adult,severe,5.02462300450821,any,4078.10130817385,194.901568353895,4485.86246654669
old,none,0.0,none,100.468882411438,383.810588550059,613.784859068837
adult,mild,0.0,none,70.8796445408085,189.496887495707,377.197987348152
young,mild,0.0,none,35.9546941931138,42.454827624417,200.445537025684
adult,severe,0.0,none,80.7204437070667,178.880242388278,394.248053105239
adult,none,0.0,none,130.523591119537,176.842360123072,430.220559121406
adult,none,0.0,none,92.419679352885,215.411305050328,430.884081274215
old,mild,4.87892698412879,any,2843.57106209242,311.557130564001,3337.55358715943
adult,mild,0.0,none,159.587600263432,163.306861340158,439.784690801036
young,none,0.0,none,93.9636910881352,57.3814244480286,272.03970664725
young,severe,0.0,none,246.263764123274,61.7031731476964,428.957792649418
adult,none,0.0,none,95.2554459267525,178.46832713439,388.801989569109
adult,none,4.42757772310138,any,1386.34530102039,182.244101525953,1729.59312466681
young,none,0.0,none,50.5568518223184,62.643264704928,250.856004243196
young,none,0.0,none,53.4515533155959,49.8604189610764,221.942405247628
old,mild,0.0,none,79.6680373785006,384.777468801345,618.702119454174
old,mild,7.13118699753234,any,4043.00294579376,359.456777926229,4618.35297870725
young,none,0.0,none,90.435188672461,72.6387434627154,272.636063718129
young,severe,0.0,none,-32.8289991967826,53.1760908626282,159.607860942319
adult,none,0.0,none,97.7154080730758,200.567326665115,440.120432111445
young,none,2.38409034715239,any,850.056710083047,45.1715610158154,1034.09285515111
adult,none,0.0,none,133.972473809626,191.694121525574,466.558178595816
young,none,0.0,none,119.603886108529,62.3634062710352,309.57661627929
young,none,0.0,none,151.377495709925,34.6736550438748,315.796899588327
young,none,0.0,none,96.4149931105696,47.3789903095243,255.985573754081
adult,none,0.0,none,110.471560088482,199.980516573426,460.042375272474
young,none,0.0,none,116.762926063654,72.5841347611392,314.996846956966
adult,none,4.55377420026384,any,1488.80207348222,147.830826036971,1802.42874016097
adult,none,0.0,none,91.6720453819124,208.868974206119,433.233336198245
young,mild,1.0627155729216,any,710.619388451426,64.2570023657982,904.979764545302
young,none,0.0,none,81.3076921356781,51.2881067114569,268.389792367188
adult,severe,0.0,none,1.66650399357545,199.168446641478,321.885463967459
adult,none,4.21127576566047,any,1391.0963122696,169.991081019684,1721.76989193354
young,none,0.0,none,93.9837703110189,73.545794060628,305.38631405382
adult,none,4.46634399437717,any,1439.35646227138,214.783182110452,1826.79306684547
young,none,0.0,none,126.540613827135,68.5273651814233,330.855044298696
adult,none,0.0,none,127.798600166453,175.753901696702,442.320970270083
young,none,0.0,none,108.320382353874,59.1216468526413,304.209510237651
adult,none,0.0,none,95.0256612388718,143.073824818623,361.187358528597
adult,none,0.0,none,77.6476657760686,172.65379510849,371.816709590434
young,none,0.0,none,75.4846661326873,35.8412936598565,216.702226369054
adult,none,0.0,none,124.523338744872,162.41044625401,404.05058982334
adult,none,0.0,none,87.2361918218675,192.960551794499,399.00185406787
adult,none,0.0,none,155.524363614407,190.807998207554,481.090985201845
adult,none,4.29048193267977,any,1399.30909533568,172.344781097611,1730.64939378726
old,mild,6.30675534515307,any,3622.82974458473,368.707541602255,4196.75316052194
young,none,0.0,none,142.499630365413,54.7839385364633,315.25797638626
old,mild,0.0,none,21.9528506981299,403.47551053589,549.419098256907
young,none,0.0,none,154.540858660734,55.6248701783148,347.03543961847
old,mild,7.34378530518893,any,4077.56407364687,307.391412551314,4598.97718774931
adult,none,0.0,none,39.0005614446366,171.620317969153,331.2835439573
old,mild,4.73138835469468,any,2753.83069426034,376.890391504464,3313.4493511314
old,mild,7.20853332030675,any,4074.0796890364,288.744782522554,4588.72595303113
adult,none,4.83374783389037,any,1551.95616847563,190.101426297195,1896.56553749759
old,none,0.0,none,68.8017279895639,344.961944461004,543.516986976844
old,mild,6.95681664393188,any,3914.24707404153,345.297887696179,4476.75763102706
old,none,8.50485478872215,any,2663.38477369096,404.353056986073,3257.32381051035
old,none,8.36552802888523,any,2632.87052842666,306.903295405204,3128.99544472858
adult,mild,0.0,none,77.3699287672857,193.966167429501,413.832059991929
young,none,0.0,none,129.203055485834,57.523687439435,304.453912051539
adult,none,0.0,none,117.815233825228,199.842152341318,439.017783054729
old,none,0.0,none,120.7243798782,367.432191720776,640.7693436467
old,none,0.0,none,135.299376535166,342.99232963762,621.503339895488
young,mild,0.0,none,186.616806940562,71.6136713228497,385.773339369556
young,none,0.0,none,109.463231128619,70.9560868497034,313.182741368594
