Region,Zone,Type,Year,Season,Month,Day,Hour,Latitude,Longitude,Altitude,t2m,ws,wd,tp,blh,ssr,CVD60,no2,o3,so2,co,pm10,pm2.5
Yorkshire and The Humber,West Midlands Urban Area,Background Urban,1988,Winter,3,26,9,52.8293607945345,-1.72681841907164,115.64589273627,281.510238608151,10.2699986904778,273.229806982577,0.0007841723504251,992.501830274929,513371.686038975,0.205019521512095,61.9746314700382,17.7404081103662,13.8138474408622,1.44262416684038,36.4863363252244,18.646588617331
North West,Greater London Urban Area,Background Rural,1995,Spring,8,2,19,51.3771941705614,-2.74595617074525,36.7344086753503,294.656810670257,3.82393888730367,69.6156568983279,0.0001302158306627,1086.77440296403,11491780.9687187,0.246176119501171,83.1655387215157,32.657575914559,22.4271200629354,1.27350707297676,34.9643754945313,18.6434209349631
West Midlands,North West & Merseyside,Background Urban,1997,Spring,3,14,4,52.0028692496068,-2.76058757425381,-9.66479391850442,282.120471483055,6.13766041981565,279.77312082702,0.0002087425333137,683.612000446994,-10.7669469766745,0.181319076642771,76.4601151552781,17.6920355815307,13.8037080883702,1.44256275824391,36.4585722387025,18.6457395057362
South East,Greater London Urban Area,Traffic Urban,1994,Winter,3,3,18,54.0617882093961,-2.43975633039328,-25.3978996766007,280.535878512611,11.1876176342736,278.655726246772,0.0009962740106861,1252.02240142288,3290441.09045611,0.20105740965185,85.7860227108048,17.7499449371853,26.2779950454499,1.79329943772289,36.543445181606,18.6419696600738
South East,Greater London Urban Area,Background Urban,1997,Fall,8,15,18,54.5704117115558,-1.46072654813301,55.5849336862953,291.581779340133,2.33860176940359,293.056317923863,-0.00069112073327,1730.34946308627,8348839.46372243,0.175218967040349,48.4244760333818,83.0152669505753,-0.0181121840875222,0.359329925196359,38.3179137267917,18.6406649936763
North East,Eastern,Background Urban,2000,Summer,9,8,5,51.2505436424294,-1.66285113261686,31.3429184313273,291.490464470393,3.49714269659195,253.52419073863,3.35341083355736e-05,225.462967092518,6412.16005109069,0.184752337092942,16.7054916761779,31.0241339100744,-7.53358418246783,-0.18547368115017,1.2516158358974,18.6464055741669
East of England,South East,Background Rural,1982,Summer,9,21,2,51.6024605049501,-0.520151836594693,-52.1859417297542,283.833566843215,2.10213873780288,206.610989821838,-0.0007447931886984,197.176082825055,5392393.35024692,0.155081097120379,76.3366844555364,17.7643245924659,13.8281381809724,1.44193313449859,36.4573380416639,18.6351030614705
North East,Reading/Wokingham Urban Area,Background Urban,1994,Fall,7,19,16,51.4097998712,-1.93364545352537,45.8997262883596,301.77883557022,3.42239980387012,85.8283986180819,0.0002600589712305,2017.23984360534,5270224.75175555,0.162909100356162,76.3446349024609,17.7405318567396,13.8087689085362,1.44024615940896,36.4907179496525,18.650792052024
North West,East Midlands,Industrial Urban,1984,Spring,7,23,11,52.7601159367199,0.044871901403472,195.689626194887,292.138198010039,3.41789630344695,66.8731410479923,0.337687335910164,879.135602311218,-494758598.421362,0.201885165346549,-2564.14688749451,18.293025727437,314305.993003968,1.44199496378979,36.4841650022687,18.636469675166
North East,Brighton/Worthing/Littlehampton,Traffic Urban,1987,Winter,10,10,14,51.9890753206748,-0.320312373479208,-139.132326001943,285.326987373286,7.98507502678686,335.360644080402,0.002453282910238,701.054962614952,2672542.10431036,0.188481235792896,76.6694683972699,17.7404020894228,13.8195966630785,1.44026932115209,36.4482450517501,18.6395532358636
Yorkshire and The Humber,Sheffield Urban Area,Background Urban,1998,Spring,12,10,16,52.8072494020937,-2.14663553267838,224.619268907726,278.941496752241,6.1411602587899,175.47938278334,-0.0021870959309964,581.683525199895,2543251.40790911,0.141779656981698,97.6630104948214,25.1479652270766,9.00811108687775,1.09790156416762,19.6508334657856,18.6359235938974
South West,Yorkshire & Humberside,Background Rural,1984,Winter,2,19,21,52.8265938960188,-1.05208864936843,64.166882945953,274.881360652854,8.38101224749347,147.07252558596,0.0026424351430005,852.532435986863,1106104.40799225,0.25064355212154,76.4102562242438,17.7250699431717,13.8004023167747,1.4415445926278,36.4997192428626,18.6480857703579
Greater London Authority,East Midlands,Background Urban,1997,Fall,4,6,4,50.7254005046762,0.0095089906639158,78.2854625452357,279.298064345719,2.61967302380298,-2.63380502040465,-0.0002334411159889,115.097201297052,9.36075791716407,0.138147404861534,76.2931431390508,17.7491326656206,13.8119095875088,1.44148656343534,36.4788682002216,18.6417881060893
North East,Greater London Urban Area,Background Urban,1985,Summer,11,16,5,51.7478865998674,-1.88559976530023,9.73719129153393,274.577181372317,2.14282439303372,216.184377578036,-0.0014115584281007,444.242927858976,24256.1653028486,0.218667709183605,76.3351606482452,17.7387190820799,13.8033999781667,1.44202480409161,36.4759436939229,18.6453667453926
Yorkshire and The Humber,Greater Manchester Urban Area,Traffic Urban,1999,Fall,3,19,3,52.4688543225733,0.0809277550327543,31.2223641932014,275.700559307408,8.09795163559465,318.785652048419,0.0005169282399792,641.717721572531,-1447591.59772791,0.148093363267985,58.6907863934225,28.864602302228,25.6471669544574,0.610838956452951,7.52707699633317,18.6654943364775
