sex,relation,is_parent,has_pets,age,mean_tr,median_tr,tr_per_month
1,0,0,0,40,1304.422520325203,790.0,41.13995192307692
2,0,1,0,36,3508.349042904289,499.0,14.874795362903225
2,0,0,0,24,1408.9324175824177,228.95,8.920307971014493
1,0,1,0,31,1364.3279310344826,536.575,35.306775
1,0,0,0,31,1060.4874509803922,446.0,10.280004139072847
2,0,0,0,21,370.8477358490566,160.0,3.742817575406032
2,0,1,0,52,1731.5090964590963,531.0,39.50523078446909
1,0,0,0,29,7214.067777777778,1767.5,4.280185546875
2,0,0,0,46,18081.25,15750.0,0.9293702290076336
1,0,0,0,40,2236.9214942528733,600.0,69.07847282608697
1,0,0,0,26,11670.31,16100.0,2.123502906976744
1,0,1,0,34,8027.506203703704,1680.915,10.402476265822784
1,0,1,0,40,1637.6734782608694,693.25,15.2184375
1,0,1,0,66,3717.6213333333335,1000.0,12.941663385826772
2,0,0,0,26,1985.98701754386,219.9,5.725748762376238
2,0,1,0,36,1110.5453504273505,463.65,55.81683973354232
2,0,0,0,20,500.0,500.0,1.0
1,0,0,0,29,1718.0961004784688,479.5,20.06721411671924
2,0,0,0,39,16877.777777777777,9000.0,0.9853664568345324
1,0,1,0,38,1372.8724489795918,777.5,33.514761235955056
1,0,0,0,68,3468.531483050848,2000.0,11.383680665610145
1,0,1,0,34,7576.907288135593,1271.955,5.629390673981192
2,0,0,0,23,304.94239837398374,176.5,12.214471859706364
2,0,1,0,38,14407.526166666668,5000.0,3.0641149328859063
1,0,1,0,37,2633.1815151515148,1484.0,2.0169013554216866
1,0,1,0,38,1902.643682170543,499.5,15.159679054054054
2,0,0,0,54,7026.740410958905,1805.88,3.918680555555556
1,0,1,0,38,698.9063414634146,570.0,2.0868091555183947
2,0,1,0,38,3634.929151291513,1058.425,26.061273696682463
2,0,0,0,32,31428.865979381444,29000.0,4.678885697305864
2,0,0,0,27,6000.0,6000.0,1.0
1,0,0,0,23,403.983325635104,192.0,27.11762731481481
2,0,0,0,20,714.1837837837837,500.0,1.9087531779661016
2,0,0,0,45,6895.937,6179.56,0.5247737068965518
2,0,1,0,22,408.7225478547855,200.0,74.6146692961165
2,0,0,1,52,803.7721578947368,241.5,31.950310773480663
1,0,1,0,29,632.0966666666667,295.5,1.7147535211267606
2,0,0,0,23,551.2951923076923,424.97,3.4036935483870967
2,0,0,0,36,6094.820684931507,3800.0,3.9325519911504414
2,0,0,0,46,10107.142857142857,10000.0,1.3233423913043478
1,0,0,0,48,3733.68625,1540.135,1.2256459731543623
1,0,0,0,37,12645.818,4004.5,0.8925769794721408
2,0,0,0,25,940.6064197530864,270.0,4.228793953687822
2,0,1,0,32,2037.033677130045,384.0,14.111066787941787
2,0,0,0,45,641.8521556886227,344.5,29.045475
1,0,0,0,48,6252.731147540983,4000.0,2.96589357028754
1,0,1,0,44,1771.987780320366,637.0,21.984982438016527
2,0,0,1,67,1489.6337878787876,690.5,3.1635177165354333
2,0,0,0,31,9600.0,9600.0,1.0
2,0,0,0,28,2931.7382644628096,500.0,11.636214454976304
2,0,0,0,47,774.6247169811321,481.44,5.930714613970588
1,0,1,0,33,706.0216226415095,308.0,21.56623495989305
1,0,0,0,53,9271.142857142857,9500.0,2.521397928994083
1,0,0,0,48,327.0,300.0,0.5500640060240964
2,0,1,0,26,2377.7721276595744,375.75,10.074176936619718
1,0,0,0,28,9222.016666666666,4011.37,1.268203125
1,0,0,0,53,38833.333333333336,40000.0,1.5689110824742267
1,0,1,0,43,501.5631428571429,284.5,4.312917510121458
1,0,1,0,39,9816.064739884392,1956.59,8.561917682926829
2,0,0,0,45,6266.495833333333,360.75,26.08875
2,0,1,0,26,577.6111666666667,509.3,2.875925196850394
1,0,1,0,42,1965.8220634920635,800.0,3.3406326219512192
2,0,1,0,35,3506.812993630573,533.8,22.64734300947867
1,0,0,0,43,1147.2254516129033,307.96500000000003,14.789077194357368
2,0,0,0,27,740.3858399999999,327.0,6.0009611593059935
2,0,1,0,29,969.4893873643906,200.0,74.6394102112676
2,0,0,0,51,7244.087920792079,994.235,9.682281496062991
2,0,0,0,42,1176.8338418079095,579.0,38.665025418660285
2,0,0,0,32,1486.26,510.0,4.989651639344262
1,0,0,1,42,2682.681538461538,1500.0,1.9459641393442624
1,0,0,0,25,1357.614791086351,368.0,21.0942820945946
2,0,0,0,22,2432.8777777777777,208.5,18.262125
2,0,0,0,54,10915.762711864409,2100.0,2.9010914781906303
2,0,0,0,30,1555.1538148984198,397.0,21.30100414691943
1,0,0,0,32,935.5976785714286,281.65,42.143365384615386
1,0,0,0,42,8817.816091954022,9000.0,9.258769667832167
1,0,1,0,40,9692.004473684212,1714.005,5.455666273584906
1,0,0,0,28,186.77648148148148,137.5,3.950940504807692
2,0,0,0,28,223.77439169139467,130.0,74.87026916058394
2,0,1,0,24,969.460737704918,233.4,5.894125000000001
1,0,1,0,30,1940.4447368421047,1577.45,1.101525
1,0,0,1,30,787.6987521367522,182.0,28.12886552132701
2,0,0,0,40,2783.567777777778,750.0,9.322288939790576
2,0,0,0,58,6426.572222222223,6250.0,3.960460843373494
2,0,0,0,43,6729.1,3638.5,0.5898619186046511
