id,age,sex,city,education_status,relation,relatives,love_relation,sport_fitness,job_money,history_politics,news,friends,followers,avg_likes,posts,avg_views,repost_ratio
373060,3,1,2,0,0,0,2,0,0,1,1,3,3,7,2,6,0
377106,3,1,2,0,0,0,2,1,1,0,1,5,5,2,6,4,5
393286,4,2,2,0,0,0,1,1,1,1,1,2,4,1,6,2,8
376777,3,1,1,3,0,0,3,1,1,1,1,3,5,1,6,5,8
395753,3,1,2,0,4,2,1,0,1,1,1,6,6,5,5,6,4
395735,3,2,2,0,0,2,2,0,0,0,2,2,1,1,6,3,5
407844,4,2,2,0,0,0,1,1,1,1,2,6,6,2,6,6,6
408025,4,1,1,0,4,0,0,0,0,0,0,2,2,1,6,2,4
408008,4,1,1,0,0,0,2,1,1,1,1,2,2,1,5,2,5
408978,4,2,1,0,0,0,1,1,1,1,1,5,5,1,6,3,7
409070,3,2,2,0,0,0,1,1,1,1,1,5,5,1,6,2,7
409023,7,1,3,0,4,4,3,1,1,1,1,6,6,7,6,6,3
424019,4,1,2,0,0,0,2,1,1,1,1,5,5,2,5,3,8
421867,4,1,1,0,0,0,1,1,1,1,1,2,3,1,6,2,6
413959,4,1,2,0,0,0,1,1,1,1,1,6,6,1,6,3,10
421809,4,2,2,3,4,6,2,1,1,1,1,6,5,1,6,5,8
395006,6,2,2,0,0,0,2,1,1,1,1,6,5,1,6,5,8
414062,0,1,2,0,0,0,2,0,1,1,1,2,5,1,6,3,8
452551,4,2,2,0,0,0,2,0,1,1,1,3,1,1,6,2,10
458118,4,2,2,3,1,1,1,1,1,1,1,4,3,1,6,1,7
462891,3,2,2,0,0,0,1,1,0,1,0,3,3,1,6,5,8
467947,3,2,1,0,0,0,1,1,1,1,1,2,1,1,6,1,9
507232,3,2,1,3,1,1,1,1,1,1,1,4,4,1,5,3,7
486567,3,1,2,0,0,3,1,1,1,0,1,6,6,1,6,5,5
538259,3,1,1,0,0,5,2,1,1,1,1,4,4,2,5,5,7
555559,3,2,2,0,0,0,3,1,1,0,1,4,5,1,6,1,9
539348,4,1,1,0,0,0,2,1,1,1,1,5,6,1,6,3,9
558055,2,1,2,0,0,0,1,1,1,1,1,1,3,1,6,2,8
645810,5,2,2,1,4,1,2,0,1,1,1,2,2,1,6,1,6
507588,5,2,2,3,1,3,1,1,1,2,2,6,6,1,6,2,9
749514,5,1,1,0,0,0,2,0,0,0,2,1,2,1,6,1,10
766394,3,2,1,0,0,0,1,1,1,1,1,5,6,1,6,2,7
920429,3,2,2,0,0,0,1,0,1,0,1,2,3,1,6,2,4
945891,4,1,1,0,0,0,0,0,1,1,2,5,5,1,6,3,2
1001528,3,1,1,0,0,0,1,1,1,1,1,5,5,3,5,5,2
1168790,3,2,2,3,1,0,0,1,1,2,1,1,2,1,6,1,10
1187589,4,2,2,0,0,0,1,0,1,3,1,5,3,4,6,6,2
1196665,3,2,1,0,0,0,2,0,0,0,0,1,2,1,6,1,10
1249942,4,1,2,0,0,0,0,2,0,0,0,1,1,1,5,3,8
1250022,2,1,2,3,0,3,1,0,1,1,1,5,4,2,6,3,3
1277556,3,2,1,0,0,0,3,1,1,0,0,3,2,3,4,5,2
1326715,5,1,2,0,0,0,1,0,1,1,1,6,6,2,6,6,7
1387880,5,2,1,0,0,0,2,1,1,1,1,4,2,1,6,2,10
1600333,5,2,2,0,0,0,1,1,1,2,1,5,2,1,6,2,1
1689693,3,1,1,0,0,0,1,1,1,1,1,4,4,1,6,2,8
1597703,3,2,2,0,0,0,2,0,1,1,1,5,5,1,6,1,9
1755168,5,2,2,0,0,0,1,1,1,1,1,2,2,1,6,2,5
1889515,4,1,1,0,0,0,4,1,1,0,1,2,4,1,6,2,9
1994797,3,1,1,0,0,0,2,2,1,0,1,2,6,1,6,1,7
2041982,4,1,1,0,0,0,1,1,0,0,1,1,2,1,6,1,7
2108230,3,2,1,3,0,2,1,1,1,0,1,2,1,1,5,3,3
2284521,4,2,1,0,0,5,2,1,1,0,1,3,1,1,6,1,8
2333443,4,2,1,0,0,0,1,1,1,1,1,2,1,1,5,2,8
2589997,6,2,2,0,0,1,1,1,2,1,1,3,1,1,6,3,4
2691528,6,1,2,0,0,0,3,1,1,0,1,4,2,2,5,5,6
2679518,4,1,2,0,0,0,0,0,0,0,3,5,1,2,6,5,3
2696901,3,2,1,0,0,0,0,1,0,0,0,2,4,1,6,1,6
2743925,4,2,1,0,0,0,3,1,1,1,1,5,3,1,6,1,10
536832,3,2,2,0,0,0,1,1,1,1,1,4,2,1,6,2,8
563102,8,1,2,0,4,8,1,1,1,1,1,5,2,1,6,2,5
624049,3,1,2,3,0,1,2,1,1,1,1,2,4,3,4,6,5
785457,6,1,2,0,0,0,2,1,1,1,1,2,2,1,6,3,9
3133887,2,1,2,0,0,0,2,1,1,1,1,5,3,1,6,2,8
3165391,5,1,2,3,0,2,1,1,1,1,1,6,0,1,6,4,10
3173640,2,2,1,3,0,0,1,0,2,0,0,3,1,2,4,5,8
1257757,6,2,2,0,0,0,2,0,1,1,1,1,1,1,5,3,3
1270388,3,1,1,0,0,0,2,0,1,1,1,3,4,1,6,2,10
