А/м для перевозки воды res,Автобетоносмеситель res,Автокран res,Автомобиль res,Бетонщик res,Бульдозер res,Бурение скважин act,Бурильная машина res,Вахтовый автомобиль res,Газорезчик res,Геодезист res,ДЭС res,ИТР res,Изготовление металлоконструкций траверс act,Изготовление свай act,Инженер ПТО res,Инженер по охране труда res,Инженер технического надзора res,Кладовщик res,Маляр res,Мастер СМР res,Механизаторы res,Механик res,Монтаж металлоконструкций траверс act,Монтаж оголовников свай act,Монтаж опор act,Монтажник res,Надземная прокладка трубопровода act,Надземная прокладка трубопровода ⌀159х6 act,Надземная прокладка трубопровода ⌀325х8 act,Надземная прокладка трубопровода ⌀426х9 act,Начальник участка res,ППУ res,Плазморезчик res,Прораб res,Разнорабочий res,Руководитель res,Самосвал res,Сварка трубопровода act,Срезка свай act,Стропальщик res,Топливозаправщик res,Трубоукладчик res,Тягач с полуприцепом res,Устройсво перехода трубопровода через дорогу (подход к основной магистрали) act,Устройсво перехода трубопровода через дорогу на К-3.1 act,Устройство свайного основания act,Экскаваторы res,"Электрик, электромонтажник res",Электросварщики res,технические ресурсы res
0,0,0,0,0,0,28,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
0,0,0,0,0,0,30,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,52,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0
0,0,0,0,0,0,56,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,36,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
0,0,0,0,0,0,30,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,30,0,0,0,0
0,0,0,0,0,0,24,0,0,0,0,0,0,16,40,0,0,0,0,0,0,0,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,0,48,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,48,0,0,0,0
