Бетонщик res,Бурение под сваи act,"ВЛ Кусты скважин №10,10.1 АС act","ВЛ Кусты скважин №10,10.1 АСЭ act",Газорезчик res,Заливка свай act,ИТР res,Механик res,Монтаж оголовников свай act,Монтаж опор act,Монтажник res,Погружение свай act,Подготовка вдоль трассового проезда act,Разнорабочий res,Руководитель res,Срезка свай act,Электромонтеры линейщики res,Электросварщики res
7,5,15,0,1,15,2,3,20,20,5,15,0,7,1,15,14,3
7,21,15,0,1,38,2,3,15,3,5,30,0,7,1,15,14,3
7,0,15,0,1,0,2,3,11,16,5,0,0,7,1,11,14,3
7,0,15,0,1,0,2,3,0,0,5,0,0,7,1,0,14,3
7,0,15,0,1,0,2,3,2,0,5,0,0,7,1,0,14,3
7,3,15,0,1,2,2,3,15,8,5,3,0,7,1,15,14,3
7,5,7,0,1,6,2,3,22,0,5,5,0,7,1,17,14,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
