,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
866,M,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
1483,M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
599,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16
1702,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
670,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
2430,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
1590,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
949,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
4026,I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
3668,F,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
175,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7
807,F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
2881,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
432,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
308,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
1979,M,0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
2648,M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
1419,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
1377,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
1688,M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
1653,M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
2283,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
4035,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
4059,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
1641,M,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
3728,I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
4110,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
2792,M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
1829,I,0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,6
690,M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
1578,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
990,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
3632,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5
