"","jordtype","komm","nedbarea","nmin","aar_mod","forfrugt","potnmin","jordn","pesticid","exptgens","mod_nmin","ngodnt","nopt","ngodnn","ngodn","nprot","saatid","rokap","dgv1059","sort","srtprot","nplac","dg25","ngtilg","ntilg","saamng","tkvs","saakern","partigerm","frspdag","jordinf","markgrm","antplnt","sorttkv","aks_m2","keraks","dgv5980","aks_vgt","srtsize","ksort","protein","udb","spndx","tkv","slt22","s2225","s2528","bgbyg"
"1","JB_6","state2","x1___375_","x45_60","x_10","Clovergrass","x_105","x_120","x_2","x40_50","x60_75","x_45","x120_135","x_45","x_45","x120_140","x26_3_10_4","x187_5_212_5","x61_70","Selim","x4","worked_in_solil","x27_5_32_5","x_45","x165_180","x190_210","x48_50","x375_424","x98_99","x21_23","x_99_1_00","x98__99","x375_425","x5","x750_950","x_23","x15_25","x750_850","x2","x_85","x11_0_11_5","x65_70","x9_10","x35_40","x3_5","x5_10","x15_20","x3_5_4_0"
"2","JB_8","state2","x3___500_","x30_45","x0","Clovergrass","x_105","x_120","x_2","x30_40","x30_45","x45_60","x120_135","x_45","x_45","x120_140","x26_3_10_4","x187_5_212_5","x61_70","Caminant","x5","Top_dressed","x_22_5","x_45","x165_180","x50_70","x50_55","x_175","x93_95","x21_23","x_99_1_00","x94_95","x_175","x6","x550_650","x_23","x10_15","x700_750","x1","x_85","x9_0_9_5","x40_50","x9_10","x40_42_5","x3_5","x1_5","x10_15","x4_0_4_5"
"3","JB_2","state4","x1___375_","x30_45","x25","Cer_rotation","x15_30","x30_45","x_2","x30_40","x0_15","x105_120","x120_135","x90_105","x90_105","x40_60","x26_3_10_4","x112_5_137_5","x61_70","Heron","x3","worked_in_solil","x_22_5","x90_105","x135_150","x210_230","x35_40","x_450","x80_85","x21_23","x_95__97","x75_80","x325_375","x4","x750_950","x17_19","x10_15","x600_650","x_1","x_85","x10_5_11_0","x50_55","x9_10","x42_5_45","x3_5","x5_10","x25_30","x4_0_4_5"
"4","JB_4","state3","x3___500_","x15_30","x10","Clovergrass","x45_60","x60_75","x_2","x30_40","x0_15","x75_90","x120_135","x60_75","x60_75","x80_100","x26_3_10_4","x112_5_137_5","x_70","G_363ta","x5","Placed","x_22_5","x60_75","x135_150","x230_250","x50_55","x_450","x90_93","x21_23","x_94__90","x80_85","x325_375","x4","x_1150","x13_15","x10_15","x550_600","x_3","x85_90","x11_5_12_0","x70_80","x9_10","x40_42_5","x3_5","x0_1","x0_5","x3_5_4_0"
"5","JB_5","state0","x2__375_500_","x30_45","x20","Cer_rotation","x75_90","x90_105","x_2","x40_50","x15_30","x90_105","x120_135","x_45","x_45","x100_120","x_26_4","x162_5_187_5","x41_50","Semal","x2","worked_in_solil","x11_5_27_5","x_45","x120_135","x190_210","x42_44","x_450","x95_97","x_15","x93__95","x90_93","x375_425","x6","x450_550","x17_19","x15_25","x850_950","x_1","x95_98","x10_5_11_0","x40_50","x9_10","x45_47_5","x3_5","x0_1","x0_5","x3_5_4_0"
"6","JB_4","state3","x3___500_","x15_30","x0","Clovergrass","x_105","x_120","x_2","x30_40","x15_30","x60_75","x_120","x_45","x_45","x120_140","x21_4_26_4","x62_5_87_5","x41_50","Chariot","x5","worked_in_solil","x37_5_47_5","x_45","x150_165","x230_250","x48_50","x_450","x80_85","x17_19","x_99_1_00","x80_85","x325_375","x4","x750_950","x15_17","x25_35","x950_1050","x3","x_98","x_12_0","x_80","x9_10","x42_5_45","x0_1","x0_1","x0_5","x3_0_3_5"
"7","JB_8","state4","x2__375_500_","x45_60","x15","Other","x_105","x_120","x_2","x_30","x30_45","x60_75","x_120","x_45","x_45","x120_140","x11_4_20_4","x162_5_187_5","x51_60","Rima","x4","Placed","x32_5_37_5","x_45","x150_165","x190_210","x35_40","x_450","x85_90","x15_17","x_99_1_00","x85_90","x375_425","x4","x750_950","x17_19","x25_35","x700_750","x1","x85_90","x_12_0","x60_65","x9_10","x40_42_5","x3_5","x1_5","x10_15","x3_0_3_5"
"8","JB_5","state4","x1___375_","x45_60","x_20","Cereals","x30_45","x105_120","x_2","x50_60","x60_75","x75_90","x135_150","x_45","x_45","x100_120","x26_3_10_4","x162_5_187_5","x61_70","Peel","x4","Placed","x_22_5","x_45","x135_150","x190_210","x55_60","x325_375","x90_93","x23_25","x_95__97","x85_90","x275_325","x6","x_1150","x15_17","x15_25","x550_600","x__1","x_85","x11_0_11_5","x70_80","x9_10","x35_40","x3_5","x5_10","x25_30","x3_5_4_0"
"9","JB_2","state0","x3___500_","x15_30","x10","Cereals","x15_30","x30_45","x_2","x30_40","x0_15","x105_120","x120_135","x90_105","x90_105","x40_60","x_26_3","x112_5_137_5","x61_70","Selim","x3","Placed","x_22_5","x90_105","x135_150","x90_110","x50_55","x175_225","x97_98","x21_23","x_95__97","x94_95","x175_225","x6","x750_950","x17_19","x25_35","x850_950","x2","x95_98","x10_0_10_5","x70_80","x9_10","x40_42_5","x2_3","x0_1","x0_5","x3_0_3_5"
"10","JB_5","state3","x3___500_","x30_45","x10","Cer_rotation","x30_45","x60_75","x_2","x40_50","x15_30","x90_105","x120_135","x60_75","x60_75","x80_100","x_26_4","x137_5_162_5","x51_60","Caruso","x5","worked_in_solil","x32_5_37_5","x45_60","x120_135","x210_230","x46_48","x_450","x99_100","x15_17","x_99_1_00","x98__99","x_425","x5","x550_650","x19_21","x10_15","x850_950","x1","x90_95","x11_0_11_5","x50_55","x9_10","x35_40","x3_5","x0_1","x0_5","x4_0_4_5"
