,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
1501,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Clear,PC,Clear,Clear,None,None,DCVZFavor,None,Weak,Weak,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,MoreUnstable,ACEFK,None,Moderate,Moderate,E,XNIL,SVR,SVR,LowSHighN,ModerateOrLe,Average,ModerateOrLe,NoMajor,MoistMDryL,DenvCyclone,LittleChange,None,AllElse,Westerly,LV
2586,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Wet,Wet,Wet,Wet,PC,PC,Cloudy,Cloudy,None,None,StrongWest,None,Weak,Strong,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Jul2_Jul15,D,CThruK,None,Average,MoreThanAve,CDEJ,LIGt0,Stability,LessUnstable,MoreUnstable,D,None,Weak,Slight,D,SIG,SIG,SIG,LowMtsHighPl,Steep,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,None,PosToNeg,None,NWQuad,LVorOther,DenvCyclone
2653,Down,WeakUp,StrongUp,WeakUp,WeakUp,Dry,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,None,None,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Moderate,Moderate,E,SVR,SVR,SVR,LowEvrywhere,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,None,SigNegative,None,SWQuad,LVorOther,SEQuad
1055,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,VeryWet,Cloudy,Cloudy,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,SVR,Aug20_Sep15,K,CThruK,PartInhibit,Average,LessThanAve,K,LIGt0,Neutral,MoreUnstable,Average,ACEFK,PartInhibit,Strong,Slight,K,XNIL,XNIL,SVR,HighEvrywher,ModerateOrLe,Dry,ModerateOrLe,StrongFront,Other,MovingFtorOt,LittleChange,None,NWQuad,Westerly,WidespdDnsl
705,WeakUp,WeakUp,StrongUp,StrongUp,StrongUp,Neutral,Wet,Wet,Wet,Clear,PC,Clear,PC,Weak,Strong,StrongWest,Strong,Weak,Strong,Marked,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,Average,Average,B,Stifling,Moderate,None,B,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Dry,Steep,MarkedUpper,Other,DenvCyclone,LittleChange,QStationary,LV,LVorOther,E_NE
106,WeakUp,StronUp,WeakUp,WeakUp,WeakUp,Neutral,Wet,Dry,Neutral,Clear,PC,Clear,Clear,Weak,Strong,Other,None,Weak,Weak,None,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,Aug11_Aug20,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,N1GtLIGt_4,Stability,Average,Average,GJ,PartInhibit,Weak,Moderate,G,XNIL,SIG,SIG,LowAtStation,Steep,Dry,CloseToDryAd,StrongFront,MoistMDryL,DryLine,SigNegative,None,AllElse,Westerly,LV
589,StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,Dry,Wet,Wet,Clear,PC,PC,Cloudy,None,None,StrongWest,None,Weak,None,None,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,May15_Jun14,H,CThruK,Stifling,MoreThanAve,LessThanAve,H,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,None,H,XNIL,XNIL,XNIL,Other,Stable,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,MovingFtorOt,PosToNeg,Moving,LV,LVorOther,E_NE
2468,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,PC,PC,PC,PC,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Aug11_Aug20,A,AB,Stifling,MoreThanAve,MoreThanAve,ABI,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,None,Moderate,Strong,A,SVR,SVR,SVR,HighEvrywher,Steep,Dry,ModerateOrLe,MarkedUpper,Other,MovingFtorOt,NegToPos,Other,SWQuad,Westerly,LV
2413,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Wet,Neutral,Wet,Wet,PC,PC,PC,Cloudy,Weak,Weak,Westerly,None,None,None,Some,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,G,CThruK,PartInhibit,LessThanAve,Average,G,N5GtLIGt_8,Stability,Average,Average,GJ,PartInhibit,Strong,Strong,G,SIG,SIG,SIG,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,StrongFront,MoistMDryL,None,LittleChange,None,AllElse,Westerly,LongAnticyc
1600,Neutral,Down,StrongUp,Neutral,Neutral,Neutral,Dry,Dry,Dry,PC,Clear,Clear,Clear,None,Weak,Other,None,None,Weak,None,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Aug11_Aug20,K,CThruK,None,LessThanAve,LessThanAve,K,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,ACEFK,None,Strong,Strong,K,SVR,SVR,SVR,Other,CloseToDryAd,Average,ModerateOrLe,StrongFront,Other,DenvCyclone,SigNegative,None,AllElse,Westerly,WidespdDnsl
2464,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Neutral,Neutral,PC,Cloudy,PC,PC,Weak,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Jul16_Aug10,F,CThruK,PartInhibit,LessThanAve,LessThanAve,F,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,PartInhibit,Strong,Moderate,F,XNIL,XNIL,SIG,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,None,PosToNeg,None,AllElse,LVorOther,LV
228,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Dry,Wet,VeryWet,PC,Clear,Clear,PC,None,None,Westerly,None,Strong,Weak,None,LittleChange,LittleChange,Neutral,Decreasing,XNIL,May15_Jun14,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,None,Strong,Strong,K,XNIL,XNIL,XNIL,Other,ModerateOrLe,VeryMoist,Steep,MarkedUpper,Other,MovingFtorOt,PosToNeg,None,AllElse,Westerly,WidespdDnsl
915,Down,Neutral,Neutral,Neutral,Neutral,Dry,VeryWet,VeryWet,Wet,Cloudy,PC,PC,PC,Weak,Weak,Other,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jul2_Jul15,A,AB,None,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,None,Moderate,Slight,A,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,LVorOther,SEQuad
794,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Clear,Cloudy,PC,PC,None,Weak,Other,None,None,Weak,None,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,May15_Jun14,A,AB,Stifling,MoreThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,LessUnstable,ACEFK,None,Weak,Moderate,A,SIG,SIG,SIG,HighEvrywher,Steep,VeryMoist,Steep,OtherRapid,Other,MovingFtorOt,NegToPos,Other,SWQuad,Westerly,SEQuad
3021,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,Cloudy,None,None,Other,None,Strong,Weak,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Aug11_Aug20,F,CThruK,PartInhibit,LessThanAve,Average,F,LILt_8,Stability,MoreUnstable,Average,ACEFK,Stifling,Moderate,None,F,XNIL,SIG,SIG,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,StrongFront,Other,E_W_S,NegToPos,None,LV,LVorOther,LV
3543,Neutral,StronUp,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Clear,Clear,Clear,None,None,DCVZFavor,None,Weak,Weak,None,LittleChange,LittleChange,WeakPos,Decreasing,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,None,E,XNIL,XNIL,XNIL,LowEvrywhere,ModerateOrLe,Average,ModerateOrLe,OtherRapid,MoistMDryL,DryLine,LittleChange,None,LV,Westerly,WidespdDnsl
1073,Down,WeakUp,Neutral,WeakUp,WeakUp,Dry,VeryWet,Dry,Dry,PC,Cloudy,PC,PC,None,None,DCVZFavor,None,None,None,None,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,May15_Jun14,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,None,Moderate,Moderate,K,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,VeryMoist,Steep,OtherRapid,Other,E_W_S,LittleChange,None,SWQuad,LVorOther,LongAnticyc
3351,Down,Neutral,WeakUp,Down,Down,Neutral,Wet,Neutral,Dry,Clear,Clear,Clear,Clear,Weak,Strong,Westerly,None,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,HI,None,Strong,Strong,I,SIG,SIG,SIG,LowSHighN,CloseToDryAd,VeryMoist,ModerateOrLe,NoMajor,DryMMoistL,E_W_S,SigNegative,Moving,NWQuad,Westerly,WidespdDnsl
1744,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,Dry,PC,Clear,Clear,Clear,None,Weak,DCVZFavor,None,None,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,May15_Jun14,G,CThruK,None,LessThanAve,LessThanAve,G,N5GtLIGt_8,Neutral,Average,LessUnstable,GJ,Stifling,Unfavorable,None,G,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,DenvCyclone,NegToPos,None,SWQuad,LVorOther,WidespdDnsl
